physical_vehicle_id,tracker_ids,first_frame,last_frame,start_time,end_time,duration_seconds,vehicle_type,plate_number,ocr_confidence,permit_status,event_status,event_reason
1,"2,5,6,13,14,16,21",1,186,0.0,7.71,7.71,car,JK02DA7007,0.945,VALID,ALLOWED,VALID
2,"25,27,38",167,243,6.92,10.08,3.17,car,JK02DA7007,0.827,VALID,ALLOWED,VALID
