frame,timestamp,object_type,object_id,vehicle_type,plate_number,ocr_confidence,authorization,face_detected
230,9.58,vehicle,25,car,JK02047007,0.827,,
230,9.58,person,33,,,,UNAUTHORIZED,True
231,9.62,person,1,,,,AUTHORIZED,False
231,9.62,vehicle,25,car,JK02047007,0.827,,
231,9.62,person,33,,,,UNAUTHORIZED,True
231,9.62,vehicle,38,car,PKO2047007,0.342,,
232,9.67,person,1,,,,AUTHORIZED,False
232,9.67,vehicle,25,car,JK02047007,0.827,,
232,9.67,person,33,,,,UNAUTHORIZED,True
232,9.67,vehicle,38,car,PKO2047007,0.342,,
233,9.71,person,1,,,,AUTHORIZED,False
233,9.71,vehicle,25,car,JK02047007,0.827,,
233,9.71,person,33,,,,UNAUTHORIZED,True
233,9.71,vehicle,38,car,PKO2047007,0.342,,
234,9.75,person,1,,,,AUTHORIZED,False
234,9.75,vehicle,25,car,JK02047007,0.827,,
234,9.75,person,33,,,,UNAUTHORIZED,True
235,9.79,person,1,,,,AUTHORIZED,False
235,9.79,vehicle,25,car,JK02047007,0.827,,
235,9.79,person,33,,,,UNAUTHORIZED,True
236,9.83,person,1,,,,AUTHORIZED,False
236,9.83,vehicle,25,car,JK02047007,0.827,,
236,9.83,person,33,,,,UNAUTHORIZED,True
237,9.88,person,1,,,,AUTHORIZED,False
237,9.88,vehicle,25,car,JK02047007,0.827,,
237,9.88,person,33,,,,UNAUTHORIZED,True
238,9.92,person,1,,,,AUTHORIZED,False
238,9.92,vehicle,25,car,JK02047007,0.827,,
238,9.92,person,33,,,,UNAUTHORIZED,True
239,9.96,person,1,,,,AUTHORIZED,False
239,9.96,vehicle,25,car,JK02047007,0.827,,
239,9.96,person,33,,,,UNAUTHORIZED,True
240,10.0,person,1,,,,AUTHORIZED,False
240,10.0,vehicle,25,car,JK02047007,0.827,,
240,10.0,person,33,,,,UNAUTHORIZED,True
241,10.04,person,1,,,,AUTHORIZED,False
241,10.04,vehicle,25,car,JK02047007,0.827,,
241,10.04,person,33,,,,UNAUTHORIZED,True
242,10.08,person,1,,,,AUTHORIZED,False
242,10.08,vehicle,25,car,JK02047007,0.827,,
242,10.08,person,33,,,,UNAUTHORIZED,True
243,10.12,person,1,,,,AUTHORIZED,False
243,10.12,vehicle,25,car,JK02047007,0.827,,
243,10.12,person,33,,,,UNAUTHORIZED,False
