frame,timestamp,object_type,object_id,vehicle_type,plate_number,ocr_confidence,authorization,face_detected
74,3.08,person,1,,,,AUTHORIZED,False
74,3.08,vehicle,2,car,JK02DA7007,0.945,,
74,3.08,person,7,,,,UNAUTHORIZED,False
75,3.12,person,1,,,,AUTHORIZED,False
75,3.12,vehicle,2,car,JK02DA7007,0.945,,
75,3.12,person,7,,,,UNAUTHORIZED,False
76,3.17,person,1,,,,AUTHORIZED,False
76,3.17,vehicle,2,car,JK02DA7007,0.945,,
76,3.17,person,7,,,,UNAUTHORIZED,False
77,3.21,person,1,,,,AUTHORIZED,True
77,3.21,vehicle,2,car,JK02DA7007,0.945,,
77,3.21,person,7,,,,UNAUTHORIZED,False
78,3.25,person,1,,,,AUTHORIZED,False
78,3.25,vehicle,2,car,JK02DA7007,0.945,,
78,3.25,person,7,,,,UNAUTHORIZED,False
79,3.29,person,1,,,,AUTHORIZED,True
79,3.29,vehicle,2,car,JK02DA7007,0.945,,
79,3.29,person,7,,,,UNAUTHORIZED,False
80,3.33,person,1,,,,AUTHORIZED,False
80,3.33,vehicle,2,car,JK02DA7007,0.945,,
80,3.33,person,7,,,,UNAUTHORIZED,False
81,3.38,person,1,,,,AUTHORIZED,False
81,3.38,vehicle,2,car,JK02DA7007,0.945,,
81,3.38,person,7,,,,UNAUTHORIZED,False
82,3.42,person,1,,,,AUTHORIZED,False
82,3.42,vehicle,2,car,JK02DA7007,0.945,,
82,3.42,person,7,,,,UNAUTHORIZED,False
83,3.46,person,1,,,,AUTHORIZED,False
83,3.46,vehicle,2,car,JK02DA7007,0.945,,
83,3.46,person,7,,,,UNAUTHORIZED,False
84,3.5,person,1,,,,AUTHORIZED,False
84,3.5,vehicle,2,car,JK02DA7007,0.945,,
84,3.5,person,7,,,,UNAUTHORIZED,False
85,3.54,person,1,,,,AUTHORIZED,False
85,3.54,vehicle,2,car,JK02DA7007,0.945,,
85,3.54,person,7,,,,UNAUTHORIZED,False
86,3.58,person,1,,,,AUTHORIZED,False
86,3.58,vehicle,2,car,JK02DA7007,0.945,,
86,3.58,person,7,,,,UNAUTHORIZED,False
87,3.62,person,1,,,,AUTHORIZED,False
87,3.62,vehicle,2,car,JK02DA7007,0.945,,
87,3.62,person,7,,,,UNAUTHORIZED,False
88,3.67,person,1,,,,AUTHORIZED,False
88,3.67,vehicle,2,car,JK02DA7007,0.945,,
88,3.67,person,7,,,,UNAUTHORIZED,False
